time,lat,lon,ice_concentration,product_quality,concentration_range
2023-01-22 14:00:00,55.60374069213867,19.729949951171875,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.747949600219727,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.765960693359375,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.783960342407227,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.801959991455078,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.819969177246094,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.837970733642578,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.85597038269043,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.873979568481445,0.0,60.0,0.0
2023-01-22 14:00:00,55.60374069213867,19.891979217529297,0.0,60.0,0.0
